function_area,specialization,skill_name
Info Tech: Infrastructure,Cloud Computing: Cloud Architecture,Cloud Architecture
Info Tech: Infrastructure,Cloud Computing: Cloud DevOps & Automation,Cloud DevOps & Automation
Info Tech: Infrastructure,Cloud Computing: Securing Cloud Infrastructure,Securing Cloud Infrastructure
Info Tech: Infrastructure,Infrastructure Architecture: Infrastructure Design, Analysis & Architecture,Infrastructure Design, Analysis & Architecture
Info Tech: Infrastructure,Infrastructure Architecture: Network Architecture,Network Architecture
Info Tech: Infrastructure,Systems & Middleware Management: Middleware & Web Servers,Middleware & Web Servers
Info Tech: IT Governance & Strategy,Enterprise Architecture,Enterprise Architecture
Info Tech: Cybersecurity,Cybersecurity Operation: Vulnerability Management,Vulnerability Management
Info Tech: Cybersecurity,Cybersecurity Operation: Network Security Management,Network Security Management
Info Tech: Cybersecurity,Cybersecurity Incident Handling: Cybersecurity Threat Intelligence and Detection,Cybersecurity Threat Intelligence and Detection
Info Tech: Cybersecurity,Cybersecurity Incident Handling: Cybersecurity Forensics,Cybersecurity Forensics
Info Tech: Cybersecurity,Cybersecurity Governance : Cybersecurity Risk Management,Cybersecurity Risk Management
Finance,Financial Planning and Analysis,Financial Planning and Analysis
Finance,Cost Management and Budget,Cost Management and Budget
Finance,Financial Modeling,Financial Modeling
Finance,Risk Management,Risk Management
Finance,Treasury,Treasury
Finance,Terminal Reporting,Terminal Reporting
Finance,Green Finance: Carbon Accounting and Management,Carbon Accounting and Management
Finance,Claims and Insurance,Claims and Insurance
Human Resource,Generalist / Business Partner,Generalist / Business Partner
Human Resource,Talent Management,Talent Management
Human Resource,Staff Development and Engagement,Staff Development and Engagement
Human Resource,Compensation,Compensation
Human Resource,HR Information Systems / Technology,HR Information Systems / Technology
Human Resource,Leadership Development,Leadership Development
Human Resource,Organisation Development,Organisation Development
